Language_ID,GB133,GB193,x,y
adan1251,1,2,1,1
ajas1235,0,1,0,0
alab1254,1,1,0,1
alya1239,0,2,1,0
arch1244,1,1,0,1
aree1239,1,2,1,1
arig1246,0,1,0,0
awar1249,1,2,1,1
band1344,0,1,0,0
bayb1234,0,1,0,0
bert1248,0,2,1,0
bimi1240,1,2,1,1
bina1277,1,2,1,1
bolo1262,0,2,1,0
budz1238,0,2,1,0
burj1242,1,1,0,1
buwa1243,0,2,1,0
cent2087,0,1,0,0
colu1241,0,1,0,0
daai1236,1,2,1,1
dagb1246,0,2,1,0
dera1248,0,1,0,0
diga1241,1,2,1,1
emae1237,0,2,1,0
fonn1241,0,2,1,0
fore1265,1,1,0,1
giry1241,0,2,1,0
guam1248,1,1,0,1
haaa1252,0,2,1,0
holo1240,0,2,1,0
huam1247,1,2,1,1
iban1267,0,1,0,0
inga1252,1,1,0,1
jjuu1238,1,2,1,1
jurm1239,0,2,1,0
kagu1239,0,2,1,0
kaki1249,1,2,1,1
kamm1249,0,2,1,0
kara1482,0,2,1,0
katb1237,0,2,1,0
khez1235,1,2,1,1
kile1243,1,1,0,1
kina1250,0,2,1,0
koho1244,0,2,1,0
koko1269,0,2,1,0
labo1244,0,2,1,0
lakk1252,1,1,0,1
limo1248,0,1,0,0
lonw1238,0,2,1,0
maas1239,0,2,1,0
maco1239,1,2,1,1
madi1260,1,2,1,1
mala1463,1,1,0,1
mban1263,0,1,0,0
mbol1247,0,2,1,0
mikm1235,1,1,0,1
mund1328,0,2,1,0
nand1266,0,2,1,0
natu1246,0,2,1,0
naxi1245,1,2,1,1
nege1240,0,2,1,0
negi1245,1,1,0,1
ngba1285,0,2,1,0
nige1253,0,2,1,0
nort2839,0,2,1,0
nucl1452,1,2,1,1
nucl1630,1,2,1,1
nucl1643,1,1,0,1
nukn1238,0,2,1,0
okoe1238,0,2,1,0
orok1265,1,1,0,1
pana1307,0,2,1,0
paul1238,0,2,1,0
pila1245,0,2,1,0
puka1242,0,2,1,0
quio1240,0,2,1,0
rama1270,1,2,1,1
rapa1245,0,2,1,0
ruma1248,0,2,1,0
saaa1241,0,1,0,0
saar1237,0,2,1,0
sanm1289,1,1,0,1
sara1321,0,2,1,0
seri1257,1,2,1,1
sgaw1245,0,2,1,0
sika1261,0,2,1,0
sout2797,1,2,1,1
sout3236,1,2,1,1
stan1293,0,1,0,0
sunw1242,1,1,0,1
taku1257,0,2,1,0
tera1251,0,2,1,0
than1259,1,1,0,1
tief1244,0,2,1,0
tira1254,1,2,1,1
tomm1242,1,2,1,1
umaa1242,0,1,0,0
urar1246,0,2,1,0
vunj1238,0,2,1,0
wola1253,1,1,0,1
